state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
CT,North Haven,1,New England,1,1,191.0,,,,13534.0
CT,Seymour,1,New England,1,1,140.0,,,,12671.0
CT,Shelton,1,New England,1,4,798.0,,,,35543.0
CT,Somers,1,New England,1,2,293.0,,,,15448.0
CT,Stamford,1,New England,1,126,2177.0,17472.0,40140.0,27737.0,14059.0
CT,Storrs,1,New England,1,127,19147.0,20366.0,43034.0,36572.0,22886.0
CT,Stratford,1,New England,2,5,80.6,,,,29865.0
CT,Wallingford,1,New England,1,1,188.0,,,,13622.0
CT,Waterbury,1,New England,5,138,3630.3,17403.71,36421.78,21928.99,10864.09
CT,West Hartford,1,New England,3,104,2705.99,46976.85,46976.85,60158.5,28318.37
CT,West Haven,1,New England,1,77,4799.0,45730.0,45730.0,63970.0,34089.0
CT,Wethersfield,1,New England,1,1,184.0,,,,16901.0
CT,Willimantic,1,New England,1,36,3377.0,13292.0,16624.0,30805.0,20480.0
DC,Washington,2,Mid East,21,212,6719.88,46514.31,47012.93,63877.71,33903.05
DE,Bear,2,Mid East,1,2,113.0,,,,
DE,Dagsboro,2,Mid East,1,2,73.0,,,,15874.0
DE,Dover,2,Mid East,2,105,7743.17,7704.73,16141.71,20531.61,11983.05
DE,Lewes,2,Mid East,1,1,43.0,,,,
DE,New Castle,2,Mid East,1,60,8497.0,12330.0,12330.0,19326.0,15355.0
DE,Newark,2,Mid East,5,135,18016.45,16080.0,39720.0,29347.0,16882.4
DE,Wilmington,2,Mid East,3,34,460.33,14482.05,14482.05,26479.29,18165.65
DE,Woodside,2,Mid East,1,18,631.0,,,,
FL,Altamonte Springs,5,Southeast,2,9,295.0,17301.0,17301.0,31267.0,26085.8
FL,Ave Maria,5,Southeast,1,31,1229.0,28222.0,28222.0,43220.0,23655.0
FL,Avon Park,5,Southeast,1,44,2084.0,3165.0,11859.0,9865.0,4443.0
FL,Babson Park,5,Southeast,1,34,879.0,32150.0,32150.0,48464.0,29932.0
FL,Boca Raton,5,Southeast,4,121,16438.6,15846.46,24143.13,32404.95,17285.07
FL,Bonita Springs,5,Southeast,1,1,68.0,,,,20231.0
FL,Boynton Beach,5,Southeast,3,13,152.0,,,,32098.67
FL,Bradenton,5,Southeast,3,59,4718.98,3074.0,11595.0,28277.0,15840.27
FL,Brooksville,5,Southeast,1,5,114.0,,,,12233.0
FL,Cape Coral,5,Southeast,1,19,293.0,,,,
FL,Casselberry,5,Southeast,2,4,300.0,16757.0,16757.0,28071.0,20427.5
FL,Chipley,5,Southeast,1,25,201.0,,,,9063.0
FL,Clearwater,5,Southeast,5,32,2783.4,,,,16455.38
FL,Coconut Creek,5,Southeast,1,27,2672.0,,,,13018.0
FL,Coral Gables,5,Southeast,1,119,12570.0,59926.0,59926.0,77708.0,36803.0
FL,Cutler Bay,5,Southeast,2,7,281.2,13154.2,13154.2,26533.6,19117.8
FL,Dania Beach,5,Southeast,1,5,175.0,10320.0,10320.0,,
FL,Davie,5,Southeast,2,29,656.5,,,,10548.7
FL,Daytona Beach,5,Southeast,4,103,7476.27,17949.65,21104.7,30951.93,20277.37
FL,DeFuniak Springs,5,Southeast,1,14,170.0,,,,15106.0
FL,DeLand,5,Southeast,1,59,2292.0,55220.0,55220.0,69807.0,21318.0
FL,Deerfield Beach,5,Southeast,1,9,271.0,7380.0,7380.0,,
FL,Delray Beach,5,Southeast,2,9,882.38,14908.0,14908.0,22460.0,20009.23
FL,Doral,5,Southeast,4,19,126.63,12397.35,12397.35,17401.33,15885.27
FL,Eustis,5,Southeast,1,17,738.0,,,,14597.0
FL,Fort Lauderdale,5,Southeast,6,139,13451.58,25702.21,26996.66,45793.01,29701.03
FL,Fort Myers,5,Southeast,11,103,6680.77,9347.83,18669.04,21442.23,14979.77
FL,Fort Pierce,5,Southeast,3,64,10998.83,3419.28,10702.94,12420.72,6344.71
FL,Fort Walton Beach,5,Southeast,1,14,429.0,,,,13545.0
FL,Gainesville,5,Southeast,7,158,29830.2,5821.92,25839.71,20647.23,6884.42
FL,Graceville,5,Southeast,1,15,248.0,13800.0,13800.0,20596.0,8829.0
FL,Greenacres,5,Southeast,1,4,261.0,,,,41411.0
FL,HOMESTEAD,5,Southeast,1,8,205.0,,,,3288.0
FL,Hallandale Beach,5,Southeast,1,5,41.0,,,,
FL,Hialeah,5,Southeast,9,41,1604.17,16011.22,16011.22,33221.39,24734.59
FL,Hialeah Gardens,5,Southeast,1,1,348.0,,,,13555.0
FL,Hobe Sound,5,Southeast,1,13,125.0,9068.0,9068.0,17545.0,10888.0
FL,Holly Hill,5,Southeast,1,2,14.0,,,,24928.0
FL,Hollywood,5,Southeast,3,33,844.83,18615.0,18615.0,,9348.1
FL,Homestead,5,Southeast,1,2,96.0,,,,
FL,Immokalee,5,Southeast,1,18,280.0,,,,-120.0
FL,Inverness,5,Southeast,1,18,262.0,,,,
FL,Jacksonville,5,Southeast,17,142,9424.77,17998.44,24569.3,29848.69,14777.86
FL,Key West,5,Southeast,1,22,823.0,3279.0,13162.0,19965.0,13818.0
FL,Kissimmee,5,Southeast,3,43,307.05,19658.0,19658.0,29179.0,13347.36
FL,Lake City,5,Southeast,1,35,2231.0,3100.0,11747.0,11879.0,2915.0
FL,Lake Wales,5,Southeast,2,23,727.41,28160.0,28160.0,41556.0,20822.66
FL,Lake Worth,5,Southeast,1,57,20532.0,3050.0,10910.0,16741.0,9832.0
FL,Lakeland,5,Southeast,6,120,3351.8,32731.19,34146.24,46003.51,28071.23
FL,Largo,5,Southeast,1,1,179.0,,,,10713.0
FL,Lauderdale Lakes,5,Southeast,1,10,204.0,,,,35448.0
FL,Lauderhill,5,Southeast,1,4,259.0,9810.0,9810.0,20726.0,15245.0
FL,Leesburg,5,Southeast,2,24,2427.81,20385.21,26654.23,33323.81,17215.12
